Título,Organización,Tipo,Región,País,Fecha límite,Enlace,Afinidad,Prioridad,Estado,Monto estimado (USD),Consultor,Observaciones,Socio vinculado,Votos descarte
RFP-National Social Protection Policy & Framework for Botswana (UNDP-BWA-00259),UNDP – UNDP-BWA/BOTSWANA,Firma,Global,—,08-Jun-2026,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45757,Empresarial,Alta,Descartada,0.0,—,,,Federico Villareal
Consultancy for Impact Evaluation and Lessons Learned Documentation (UNCDF-00636),UNDP – UNCDF/UGANDA,Ambos,Global,—,09-Jun-2026,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45761,Ambos,Alta,Descartada,0.0,—,,,Federico Villareal
"Researcher on Business and Human Rights, Sustaining Peace, and International Trade and Investment (International Consultant) (66345)",UNDP – UNDP Regional Centre - THAILAND/THAILAND,Ambos,Global,—,12-Jun-2026,https://procurement-notices.undp.org/view_notice.cfm?notice_id=66345,Ambos,Alta,Descartada,0.0,—,,,Federico Villareal
"Innovation Challenge - Manufacturing - R2 (UNDP-GEO-00430,1)",UNDP – UNDP-GEO/GEORGIA,Ambos,Global,—,19-Jun-2026,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45500,Ambos,Alta,Descartada,0.0,—,,,Federico Villareal
Food Security and Nutrition Policy Specialist (Consultant),FAO,Individual,Global / América Latina,—,A verificar,https://www.fao.org/fsnforum/news/job-vacancy-food-security-and-nutrition-policy-specialist,"ICyT, Productividad y Desarrollo",Alta,Descartada,0.0,—,,,Federico Villareal
Consultor/a en Sistemas Agroalimentarios y Bioeconomía,FAO – Oficina Regional ALC,Individual,América Latina y Caribe,—,Monitoreo continuo,https://jobs.fao.org/careersection/fao_external/jobsearch.ftl?lang=en,"ICyT, Productividad y Desarrollo",Media,Descartada,0.0,—,,,Federico Villareal
Consultor/a – Comercio Agropecuario e Integración Regional,IICA,Individual,América Latina y Caribe,—,Monitoreo continuo,https://iica.int/en/,Ambos,Media,Descartada,0.0,—,,,Federico Villareal
Consultor/a en Transformación Digital en Sistemas Agroalimentarios,PNUD / FAO / IICA,Ambos,América Latina,—,Monitoreo continuo,https://procurement-notices.undp.org/,Ambos,Media,Descartada,0.0,—,,,Federico Villareal
USAID AFFORD – Advancing Food Fortification Opportunities to Reinforce Diets,USAID,Firma,Global / América Latina,—,A verificar,https://www.grants.gov/,Empresarial,Media,Descartada,0.0,—,,,Federico Villareal
Contrato de Servicios – Mejora del Sistema de Seguridad Alimentaria (UNDP-HQ-01851),PNUD HQ,Firma,Global,—,A verificar,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=37478,Empresarial,Media,Descartada,0.0,—,,,Federico Villareal
